strategy,round,n_labeled,ari,mean_entropy_unlabeled
uncertainty,0,30,0.1611923257502781,1.1072426286087713
uncertainty,1,50,0.1413044557795321,0.970845822831571
uncertainty,2,70,0.1770681269838296,0.8475689869061149
uncertainty,3,90,0.17739293301131923,0.8122458756203143
uncertainty,4,110,0.18922327475765438,0.8008522554397477
uncertainty,5,130,0.1970235745868741,0.7998422694980553
uncertainty,6,150,0.2128045295355475,0.7866411971236142
uncertainty,7,170,0.21917287136727595,0.7706113749917917
uncertainty,8,190,0.2324112010534408,0.7736986361793177
uncertainty,9,210,0.22703706401864338,0.7662645686291535
uncertainty,10,230,0.22750479707218482,0.7816185175723479
uncertainty,11,250,0.23583698807151604,0.7894113523432942
uncertainty,12,270,0.24450232990343979,0.7891113750603341
uncertainty,13,290,0.25252398424668465,0.7940899047123237
uncertainty,14,310,0.25048813789509305,0.7889173360685685
uncertainty,15,330,0.2597665587960938,0.7911170954680516
random,0,30,0.1611923257502781,1.1072426286087713
random,1,50,0.18777648359407165,0.9972231340124921
random,2,70,0.21237107495641272,0.9444848468731897
random,3,90,0.2409619634354531,0.8868368476259443
random,4,110,0.2617049079711077,0.8760171052154698
random,5,130,0.26709653265592614,0.8891624561504794
random,6,150,0.295176194523156,0.8872535203036304
random,7,170,0.2944714890180335,0.8867993635481184
random,8,190,0.3013482569257448,0.9046599854605206
random,9,210,0.30442833599047714,0.910457654099251
random,10,230,0.3130484690152317,0.8999099945668312
random,11,250,0.33092399152158186,0.9074477596090575
random,12,270,0.34097548955446005,0.9041315554567265
random,13,290,0.34894632018931,0.9101732193277655
random,14,310,0.3521690583721229,0.9518788707376319
random,15,330,0.3576547363729239,0.9440237720021867
